iter	Logloss
159	0.4015097347
160	0.4011076961
161	0.4009154543
162	0.4003975582
163	0.4001372788
164	0.3999978292
165	0.3995477046
166	0.3994666429
167	0.3992896311
168	0.398812275
169	0.398659018
170	0.3983497222
171	0.3981978764
172	0.3981263403
173	0.3976825255
174	0.3971665499
175	0.3969111374
176	0.3965427263
177	0.3962499961
178	0.3958738237
179	0.3956339486
180	0.3952781031
181	0.3950634754
182	0.3946941048
183	0.3943744672
184	0.3943146894
185	0.3940838097
186	0.3938052007
187	0.3935095674
188	0.393456946
189	0.3930818451
190	0.3928457908
191	0.3924358211
192	0.3921043291
193	0.3920046084
194	0.3917301871
195	0.3914788262
196	0.3913712668
197	0.3910343383
198	0.3909719191
199	0.3908196308
200	0.3906282209
201	0.3905026785
202	0.39007427
203	0.3898901689
204	0.3895645187
205	0.3892309845
206	0.3891526059
207	0.3891164286
208	0.3890817526
209	0.3889000089
210	0.3886927546
211	0.3883386739
212	0.3882715817
213	0.3882413698
214	0.3882105435
215	0.3879475608
216	0.3876082716
217	0.3875158086
218	0.3872851321
219	0.3870081318
220	0.3868184992
221	0.3865830083
222	0.3863280481
223	0.3862511666
224	0.3859775747
225	0.3857869835
226	0.385669662
227	0.385317928
228	0.385260652
229	0.3850541946
230	0.3850320671
231	0.3847900562
232	0.3846231183
233	0.3844952726
234	0.3842565736
235	0.38413102
236	0.3839942745
237	0.3838529429
238	0.3836010508
239	0.3833509672
240	0.3831647071
241	0.3830332045
242	0.3827946854
243	0.3825213547
244	0.3822881038
245	0.3821619626
246	0.3818731369
247	0.3817902425
248	0.3815542499
249	0.3813220034
250	0.3811380977
251	0.3809875547
252	0.3808507987
253	0.380754282
254	0.3805429923
255	0.3804227225
256	0.3803716452
257	0.3803554816
258	0.3803421961
259	0.3802337097
260	0.3800316157
261	0.3798468238
262	0.3797720337
263	0.3795386797
264	0.3793477316
265	0.3791687035
266	0.3789710413
267	0.3788376616
268	0.3787826154
269	0.3786194618
270	0.3785992531
271	0.378426816
272	0.3783879312
273	0.3783342515
274	0.378113042
275	0.3779776716
276	0.377792272
277	0.3775878833
278	0.3774329429
279	0.3772953227
280	0.3772351314
281	0.3771467502
282	0.3770469932
283	0.376944148
284	0.3767047024
285	0.3765957392
286	0.3764297707
287	0.3764123312
288	0.3761861549
289	0.3759812945
290	0.375926149
291	0.3758878592
292	0.3757294047
293	0.3755772828
294	0.3754681427
295	0.3752538763
296	0.3750313327
297	0.3749503972
298	0.3749247125
299	0.374811955
300	0.3746036616
301	0.3745485927
302	0.3744815567
303	0.3744399945
304	0.3744174628
305	0.3742649629
306	0.3742082197
307	0.3740363645
308	0.3740170385
309	0.3738933821
310	0.3738737314
311	0.3737938206
312	0.3736206592
313	0.3735803596
314	0.3733967739
315	0.3733147372
316	0.373263503
317	0.3731840222
318	0.3731619886
319	0.3730655566
320	0.3730334189
321	0.3729088534
322	0.3727338282
323	0.3726608878
324	0.3725430664
325	0.3725223196
326	0.372448765
327	0.3724034808
328	0.3723021046
329	0.3722798741
330	0.3721229053
331	0.3720639622
332	0.3720262626
333	0.3719370049
334	0.3718760609
335	0.3717339954
336	0.371563006
337	0.3714495917
338	0.3713091956
339	0.3711813474
340	0.3711603759
341	0.3710296265
342	0.3709425617
343	0.3709285999
344	0.3708462661
345	0.3706858173
346	0.3706824107
347	0.3706625973
348	0.3706184873
349	0.3705290796
350	0.3704259222
351	0.370418769
352	0.3702797838
353	0.370255629
354	0.3702534455
355	0.3701803588
356	0.3701429599
357	0.3700358874
358	0.3699836787
359	0.3699781607
360	0.3698997385
361	0.3697503036
362	0.3696457806
363	0.3695677456
364	0.3695590518
365	0.3693528232
366	0.3692208666
367	0.3691006718
368	0.3690292798
369	0.3690152322
370	0.3688952841
371	0.3687987701
372	0.3687715438
373	0.3687397943
374	0.3686829965
375	0.3686647297
376	0.3685950767
377	0.3684452322
378	0.3683422909
379	0.3683221858
380	0.3682092926
381	0.3681271327
382	0.3680725701
383	0.3680265119
384	0.3680145007
385	0.3679993736
386	0.3679242271
387	0.3678343367
388	0.3677223295
389	0.367587235
390	0.3675627918
391	0.3674548022
392	0.3672686899
393	0.3672631558
394	0.3672351396
395	0.3671099767
396	0.3670376133
397	0.366989384
398	0.3668653122
399	0.3668127095
400	0.3667171811
401	0.3666088566
402	0.3664987862
403	0.3664609055
404	0.3663356697
405	0.3662702648
406	0.3662135417
407	0.366181112
408	0.3660687121
409	0.3660522362
410	0.365854188
411	0.3657374103
412	0.3657335605
413	0.3656087193
414	0.3654789852
415	0.3654145627
416	0.3653812759
417	0.3652322657
418	0.3651463907
419	0.3651032654
420	0.3650515018
421	0.3650429471
422	0.3650277837
423	0.3649444733
424	0.3649292499
425	0.3648724998
426	0.3647917908
427	0.3647019092
428	0.3646954164
429	0.3646074401
430	0.3645340488
431	0.3645289448
432	0.3644599537
433	0.3644268979
434	0.3642951033
435	0.3641946888
436	0.3641843175
437	0.3641708445
438	0.364055864
439	0.3640461044
440	0.3640241261
441	0.3639405683
442	0.363832555
443	0.3637072761
444	0.3636513457
445	0.363615322
446	0.3635429199
447	0.3634592848
448	0.363230675
449	0.363219551
450	0.3631630092
451	0.3631125559
452	0.3630908104
453	0.3630093732
454	0.3630076872
455	0.3629393071
456	0.3627697042
457	0.3627268366
458	0.3626568198
459	0.3626131983
460	0.3624646244
461	0.3622571591
462	0.3621871659
463	0.3621514111
464	0.3620596413
465	0.3619633402
466	0.3617827105
467	0.3616491289
468	0.3615818129
469	0.3614934709
470	0.3614835655
471	0.3613992082
472	0.361347992
473	0.3613239202
474	0.3613026303
475	0.3610721998
476	0.3610495648
477	0.3609549846
478	0.360879893
479	0.3608120423
480	0.360801038
481	0.360690814
482	0.3606779093
483	0.3605395614
484	0.3605267127
485	0.3604582787
486	0.3603277451
487	0.3602516923
488	0.3602456769
489	0.3602288391
490	0.3601807553
491	0.3600936628
492	0.3600825586
493	0.3600371348
494	0.3599938055
495	0.3599592168
496	0.3599432528
497	0.3598179775
498	0.3597528059
499	0.3596007377
500	0.3595296222
501	0.3594655851
502	0.3592661687
503	0.3592044279
504	0.3591281987
505	0.3590548216
506	0.3590450082
507	0.359023603
508	0.3589666051
509	0.3589605455
510	0.3588915931
511	0.3587943969
512	0.3587671797
513	0.3587222405
514	0.358712747
515	0.3587076042
516	0.3586985942
517	0.3586176008
518	0.3585772964
519	0.3585234718
520	0.3585083614
521	0.3584896572
522	0.3584756312
523	0.3584585626
524	0.3583555128
525	0.3582586901
526	0.3582115326
527	0.3581131053
528	0.3581002274
529	0.3580143291
530	0.3579322838
531	0.3579033899
532	0.3578924768
533	0.3577659033
534	0.3576490011
535	0.3575595845
536	0.357467884
537	0.357451416
538	0.3574395876
539	0.3573872054
540	0.3573218703
541	0.3571190387
542	0.3571038723
543	0.3569997803
544	0.3569948132
545	0.356957686
546	0.3569454625
547	0.3569222932
548	0.3569201959
549	0.3569197241
550	0.3568850196
551	0.3568847867
552	0.3568693558
553	0.3568372572
554	0.3567211521
555	0.3566355674
556	0.3566275574
557	0.3566077175
558	0.3565667104
559	0.3564744463
560	0.356472305
561	0.3563015106
562	0.3561838123
563	0.3560998688
564	0.3560728928
565	0.3560274056
566	0.3558294354
567	0.3558219917
568	0.3557688787
569	0.3556917015
570	0.3556685358
571	0.3555518848
572	0.3554090964
573	0.3551988202
574	0.3551932783
575	0.3551730609
576	0.3551192159
577	0.3549402273
578	0.3549048217
579	0.3549025802
580	0.3548375883
581	0.3547348017
582	0.3546777652
583	0.3546402836
584	0.3545991292
585	0.3545363227
586	0.3545253451
587	0.3544347761
588	0.3543211242
589	0.3542275469
590	0.3541214931
591	0.3539149123
592	0.3538219713
593	0.35382001
594	0.3538124322
595	0.3537618498
596	0.3537543371
597	0.3536137514
598	0.353554417
599	0.3534587145
600	0.3533596473
601	0.3533086329
602	0.353264502
603	0.3532420207
604	0.3530641262
605	0.3528656207
606	0.3528157115
607	0.3527209699
608	0.3526423236
609	0.3525469451
610	0.3523697266
611	0.3522917091
612	0.3522824471
613	0.3522797263
614	0.3520641866
615	0.3520082186
616	0.3519353057
617	0.3519266508
618	0.3519128589
619	0.3517705458
620	0.3517267931
621	0.3517053648
622	0.3515856437
623	0.3515243384
624	0.3515023191
625	0.351495049
626	0.351484359
627	0.3513618752
628	0.351272088
629	0.3512129663
630	0.3511013617
631	0.3510587321
632	0.3510145632
633	0.3509261919
634	0.3509026775
635	0.3508628457
636	0.3506868899
637	0.3506078499
638	0.3504346453
639	0.3503853398
640	0.3503672654
641	0.3501638743
642	0.3501048697
643	0.3500987299
644	0.3500934673
645	0.3499634784
646	0.3498607366
647	0.349841263
648	0.349788183
649	0.3495738134
650	0.3494869199
651	0.3493175204
652	0.3493074634
653	0.3491378237
654	0.3491010559
655	0.3490280312
656	0.348977417
657	0.3489326282
658	0.348876337
659	0.3487996656
660	0.348792594
661	0.3487095002
662	0.3487034037
663	0.3486761786
664	0.3486558794
665	0.3486093201
666	0.3485369704
667	0.3485166761
668	0.3484788614
669	0.34840283
670	0.3483624372
671	0.3482478972
672	0.3482388783
673	0.3481547232
674	0.3481480847
675	0.3479857159
676	0.3479227929
677	0.3478377504
678	0.3476931169
679	0.3476741688
680	0.3475891641
681	0.3475347035
682	0.3474864053
683	0.3474156147
684	0.3472859067
685	0.3471943303
686	0.3471428621
687	0.347081813
688	0.3470479626
689	0.3470067082
690	0.3470018672
691	0.3469662811
692	0.346893752
693	0.3468581525
694	0.3467982605
695	0.3467227055
696	0.3466914177
697	0.3466363657
698	0.3465111128
699	0.3463310046
700	0.3462948561
701	0.3462067099
702	0.3461562695
703	0.346116234
704	0.3460196834
705	0.3457620132
706	0.3456535258
707	0.345490292
708	0.3454456284
709	0.345392165
710	0.345325618
711	0.3452506059
712	0.3451725884
713	0.3450373792
714	0.3450101219
715	0.3450032252
716	0.3449659157
717	0.3448888286
718	0.3448528248
719	0.3447350893
720	0.3447050975
721	0.3447005983
722	0.3446956002
723	0.3446774579
724	0.3446263667
725	0.3445859142
726	0.3444594144
727	0.3443080882
728	0.3441628873
729	0.3441098233
730	0.3440756655
731	0.3439330186
732	0.3438175544
733	0.3437703765
734	0.3437603772
735	0.3437365152
736	0.3436486015
737	0.3435044482
738	0.3435003255
739	0.3434564207
740	0.3433156903
741	0.3432536991
742	0.3432102579
743	0.3431965388
744	0.3431243101
745	0.3429788296
746	0.3428972385
747	0.3428190544
748	0.3426929431
749	0.342630749
750	0.3425625969
751	0.3425527871
752	0.3423978729
753	0.3423632268
754	0.342253219
755	0.3422246556
756	0.3421816478
757	0.3421262056
758	0.3421035365
759	0.3420447495
760	0.3419746029
761	0.3419372317
762	0.3419308568
763	0.3418930419
764	0.3418261028
765	0.3417773661
766	0.3416894698
767	0.3416424336
768	0.3415713773
769	0.3415216268
770	0.3414779686
771	0.3413899745
772	0.3413408923
773	0.3412877741
774	0.3412482177
775	0.3411572893
776	0.3411385331
777	0.3411089418
778	0.3410768907
779	0.3410394659
780	0.3410134522
781	0.340976735
782	0.3409234557
783	0.3408064549
784	0.3407327323
785	0.3406999735
786	0.3406488908
787	0.3405948279
788	0.3405923995
789	0.3405893965
790	0.3405564011
791	0.3403737451
792	0.3403005402
793	0.3400909219
794	0.3400875265
795	0.3399963457
796	0.3399695312
797	0.3398846774
798	0.3398345082
799	0.3397812037
800	0.3397706328
801	0.3397086954
802	0.3396230414
803	0.3395530374
804	0.3395173877
805	0.3393791
806	0.3393115595
807	0.3392734236
808	0.339225533
809	0.3392225416
810	0.339038209
811	0.3389629238
812	0.3387312704
813	0.3386944601
814	0.3386531944
815	0.3384518629
816	0.3383901043
817	0.3383049495
818	0.3382987857
819	0.3382248572
820	0.3381710663
821	0.3381679521
822	0.3381129255
823	0.3379906325
824	0.3378788951
825	0.3377681825
826	0.3377097131
827	0.3376644028
828	0.3375989374
829	0.3375588243
830	0.3373282757
831	0.3372582455
832	0.3371979382
833	0.3371643216
834	0.3371134757
835	0.3370468863
836	0.3370273328
837	0.3369568345
838	0.3369043992
839	0.3368176106
840	0.3367609147
841	0.3366879042
842	0.3366461664
843	0.3365105822
844	0.336442361
845	0.3364262621
846	0.3363825927
847	0.3363176429
848	0.336291684
849	0.3362296745
850	0.3361513159
851	0.3361298576
852	0.3359743258
853	0.3359225205
854	0.3358756509
855	0.3358426663
856	0.3358311747
857	0.3357746001
858	0.3357280498
859	0.3356922623
860	0.3356472247
861	0.3356053085
862	0.3355523454
863	0.3355263138
864	0.3353802915
865	0.3353410057
866	0.3352899108
867	0.3352617821
868	0.3351445898
869	0.3350954085
870	0.3349786761
871	0.3349241008
872	0.3347681987
873	0.3347385199
874	0.3346936896
875	0.3346429085
876	0.3345255853
877	0.3344272579
878	0.3343770019
879	0.3342346583
880	0.3341890884
881	0.3341170567
882	0.334095088
883	0.3340929594
884	0.3340488416
885	0.3339156548
886	0.3338345214
887	0.3337906082
888	0.333742992
889	0.3336839618
890	0.3336367727
891	0.3336067548
892	0.3334870645
893	0.3334256389
894	0.3333796529
895	0.3333439939
896	0.333300761
897	0.3332530652
898	0.3331863971
899	0.3331397147
900	0.33307959
901	0.333036249
902	0.3328833608
903	0.3328374468
904	0.3328118313
905	0.3327483297
906	0.3327005478
907	0.3325611503
908	0.3325047182
909	0.3324525517
910	0.3324326959
911	0.3323679201
912	0.3323303225
913	0.3321612864
914	0.3320607261
915	0.3319942551
916	0.3319564854
917	0.3319117766
918	0.3318762416
919	0.3317731886
920	0.3317498793
921	0.3316330254
922	0.3315414454
923	0.3314740799
924	0.331421747
925	0.3313744588
926	0.3313255628
927	0.3311769147
928	0.3311191102
929	0.3310785961
930	0.331015454
931	0.3309619531
932	0.3309143416
933	0.3308394156
934	0.3308151445
935	0.3307368176
936	0.3305799584
937	0.3304614905
938	0.3304348484
939	0.3303200251
940	0.3302644839
941	0.3302230887
942	0.3301060012
943	0.3300218861
944	0.3299736283
945	0.3299183756
946	0.3298809197
947	0.3297840893
948	0.3296550652
949	0.3296132969
950	0.329580982
951	0.329540436
952	0.3294258938
953	0.32934447
954	0.3293089985
955	0.3292106398
956	0.3290778993
957	0.3290333754
958	0.3289943401
959	0.3289500493
960	0.3288874178
961	0.3288382435
962	0.3287779087
963	0.3287516506
964	0.3285946848
965	0.3285576552
966	0.3285123714
967	0.3283832376
968	0.3283296078
969	0.328279597
970	0.3282318709
971	0.3281991311
972	0.3281391929
973	0.3280932688
974	0.3280257494
975	0.327897257
976	0.3277511337
977	0.327665262
978	0.3276207472
979	0.3274814501
980	0.3274446929
981	0.3274031995
982	0.3273669708
983	0.3273381622
984	0.3273114022
985	0.3272633472
986	0.3272121063
987	0.3271498331
988	0.3271279003
989	0.326995168
990	0.3269618693
991	0.3268529063
992	0.3267815404
993	0.3267243988
994	0.3266892795
995	0.326543552
996	0.3265091754
997	0.3264151621
998	0.3262291889
999	0.3261850085
